epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.2749,3.18957,4.29776,4.22564,0.00282,0.36096,0.00462,0.00149,3.1142,4.26039,4.15722,0.000125,0.000125,0.000125
2,84.27,3.22683,4.16709,4.16539,0.00259,0.34626,0.00349,0.00099,3.11086,4.25809,4.14933,0.000259901,0.000259901,0.000259901
3,124.933,3.25859,3.80128,4.09943,0.00251,0.34626,0.10951,0.02638,3.1014,4.25401,4.12729,0.00039208,0.00039208,0.00039208
4,165.292,3.20469,3.53144,3.99067,0.00208,0.31684,0.05796,0.01063,3.08108,4.25172,4.09257,0.000521536,0.000521536,0.000521536
5,206.039,3.11166,3.2475,3.82849,0.00268,0.40876,0.05582,0.00771,3.09354,4.26086,4.05893,0.00064827,0.00064827,0.00064827
6,246.821,3.21669,3.10414,3.73209,0.00071,0.125,0.00218,0.0009,3.12149,5.06418,3.88189,0.000772281,0.000772281,0.000772281
7,287.677,3.06974,2.99642,3.58625,0.75191,0.04167,0.00153,0.00064,3.19315,5.20918,4.06867,0.00089357,0.00089357,0.00089357
8,327.702,2.97393,2.82353,3.44008,0.00059,0.08333,0.00055,0.00029,3.16837,27.7707,4.37569,0.00101214,0.00101214,0.00101214
9,367.564,2.89648,2.77336,3.39263,0.00362,0.37322,0.00455,0.00131,3.06344,4.25339,4.03889,0.00112798,0.00112798,0.00112798
10,408.354,2.83685,2.82802,3.3216,0.01055,0.22549,0.01194,0.00223,3.17015,12.7454,4.18024,0.00113863,0.00113863,0.00113863
11,448.411,2.74711,2.74516,3.26973,0.76402,0.08333,0.00889,0.002,3.03693,5.44141,3.98767,0.00112625,0.00112625,0.00112625
12,488.415,2.60588,2.6617,3.1989,0.76239,0.08333,0.00951,0.00237,2.88822,4.6322,3.78871,0.00111388,0.00111388,0.00111388
13,528.525,2.63177,2.65781,3.13322,0.75143,0.08333,0.00196,0.00066,3.06669,5.04496,3.75329,0.0011015,0.0011015,0.0011015
14,568.367,2.46744,2.61473,3.02523,0.00274,0.43572,0.03544,0.00859,2.93242,4.43143,3.89587,0.00108913,0.00108913,0.00108913
15,608.071,2.44552,2.6097,2.99609,0.00802,0.67814,0.0487,0.0136,2.26681,3.95169,3.43202,0.00107675,0.00107675,0.00107675
16,648.259,2.34383,2.44457,2.86802,0.907,0.08333,0.13842,0.08191,2.39836,4.6291,3.31851,0.00106437,0.00106437,0.00106437
17,687.953,2.31658,2.3978,2.86345,0.78152,0.08333,0.05597,0.02673,2.37767,4.02392,3.28929,0.001052,0.001052,0.001052
18,727.65,2.25427,2.35948,2.78739,0.76289,0.125,0.09802,0.03316,2.29086,4.28458,2.97741,0.00103962,0.00103962,0.00103962
19,768.269,2.20551,2.32981,2.75882,0.76123,0.16667,0.12956,0.04978,2.2361,3.63109,3.04476,0.00102725,0.00102725,0.00102725
20,808.122,2.14548,2.35991,2.68994,0.76147,0.07108,0.22655,0.09572,2.15356,3.4617,3.1282,0.00101488,0.00101488,0.00101488
21,847.626,2.08294,2.25256,2.62022,0.53928,0.27941,0.1722,0.06723,2.09975,3.58154,2.99974,0.0010025,0.0010025,0.0010025
22,887.406,2.03318,2.19147,2.5569,0.78318,0.125,0.1728,0.07782,2.16032,3.77682,2.92104,0.000990125,0.000990125,0.000990125
23,926.93,2.09324,2.25462,2.57257,0.91212,0.04167,0.18555,0.08263,2.15623,3.5702,3.02627,0.00097775,0.00097775,0.00097775
24,966.445,2.02056,2.27808,2.54303,0.75847,0.23879,0.17652,0.0853,2.13559,3.60942,2.82941,0.000965375,0.000965375,0.000965375
25,1006.32,2.01488,2.077,2.49165,0.60906,0.30971,0.23167,0.10076,2.20257,3.56066,2.86372,0.000953,0.000953,0.000953
26,1045.82,1.93998,2.0286,2.46794,0.62145,0.13971,0.25076,0.12755,1.8491,3.50589,2.62357,0.000940625,0.000940625,0.000940625
27,1085.05,1.89881,2.06159,2.41596,0.85786,0.08333,0.29973,0.16871,1.77409,3.61722,2.56729,0.00092825,0.00092825,0.00092825
28,1124.91,1.91119,1.90445,2.38051,0.71119,0.31473,0.23636,0.11345,2.0524,3.576,2.71347,0.000915875,0.000915875,0.000915875
29,1164.43,1.94191,2.0698,2.40685,0.72406,0.24172,0.19291,0.08664,1.92619,3.46404,2.58455,0.0009035,0.0009035,0.0009035
30,1204.04,1.83418,1.93751,2.30859,0.59162,0.36265,0.30247,0.13841,1.76358,3.34505,2.44789,0.000891125,0.000891125,0.000891125
31,1244.87,1.87287,1.92508,2.30917,0.56147,0.40676,0.34522,0.20011,1.68288,3.2288,2.35491,0.00087875,0.00087875,0.00087875
32,1287.33,1.73242,1.80739,2.23116,0.75649,0.38636,0.35524,0.18723,1.65228,3.42378,2.33062,0.000866375,0.000866375,0.000866375
33,1326.42,1.71978,1.81464,2.22701,0.85492,0.125,0.31455,0.17174,1.60287,3.59768,2.27218,0.000854,0.000854,0.000854
34,1365.71,1.76804,1.79476,2.2191,0.59147,0.38893,0.32438,0.15736,1.6426,3.38476,2.30035,0.000841625,0.000841625,0.000841625
35,1405.25,1.78346,1.76296,2.20102,0.77279,0.27102,0.25508,0.1117,1.66807,3.31334,2.26905,0.00082925,0.00082925,0.00082925
36,1444.63,1.75627,1.77591,2.21156,0.78656,0.25353,0.26006,0.11331,1.53989,3.17178,2.10115,0.000816875,0.000816875,0.000816875
37,1483.94,1.75662,1.80984,2.20141,0.71313,0.35606,0.28148,0.15114,1.5112,3.15906,2.05868,0.0008045,0.0008045,0.0008045
38,1523.18,1.68593,1.75378,2.15775,0.70462,0.35606,0.29435,0.15618,1.61449,3.22107,2.13748,0.000792125,0.000792125,0.000792125
39,1562.4,1.74848,1.82088,2.19724,0.69165,0.39565,0.31476,0.18283,1.57499,2.98195,2.11677,0.00077975,0.00077975,0.00077975
40,1601.48,1.64771,1.71821,2.14386,0.79212,0.3919,0.32658,0.17249,1.51138,2.7788,2.04944,0.000767375,0.000767375,0.000767375
41,1640.63,1.67812,1.65936,2.12784,0.76346,0.39773,0.35172,0.20482,1.4571,2.71874,1.99633,0.000755,0.000755,0.000755
42,1679.87,1.68747,1.60948,2.14111,0.77887,0.39502,0.44463,0.28696,1.54433,2.7835,2.14173,0.000742625,0.000742625,0.000742625
43,1718.96,1.65508,1.71478,2.13127,0.76922,0.40909,0.47133,0.30624,1.44485,2.64914,2.01154,0.00073025,0.00073025,0.00073025
44,1758.27,1.66387,1.64524,2.10753,0.54384,0.45321,0.38482,0.21101,1.4869,2.60736,1.92282,0.000717875,0.000717875,0.000717875
45,1797.25,1.55666,1.55795,2.03697,0.65926,0.49986,0.44269,0.26143,1.36616,2.53273,1.8852,0.0007055,0.0007055,0.0007055
46,1836.83,1.59992,1.59267,2.05716,0.6562,0.49338,0.49453,0.31682,1.2691,2.26768,1.84321,0.000693125,0.000693125,0.000693125
47,1875.39,1.60236,1.61283,2.04255,0.82243,0.40769,0.46859,0.29962,1.38012,2.16446,1.93703,0.00068075,0.00068075,0.00068075
48,1914.02,1.63048,1.60822,2.07899,0.82835,0.30212,0.45752,0.31474,1.29982,2.23696,1.81808,0.000668375,0.000668375,0.000668375
49,1952.52,1.61578,1.59612,2.04116,0.66606,0.42123,0.47096,0.32146,1.28994,2.41105,1.80427,0.000656,0.000656,0.000656
50,1991.19,1.54372,1.5879,2.01611,0.69406,0.47928,0.44437,0.28226,1.36686,2.27223,1.89496,0.000643625,0.000643625,0.000643625
51,2029.72,1.55828,1.47659,1.99514,0.56585,0.50567,0.4443,0.29135,1.44144,2.05464,1.89392,0.00063125,0.00063125,0.00063125
52,2068.44,1.56579,1.48687,1.98165,0.66067,0.57645,0.54185,0.34966,1.29872,2.18983,1.8136,0.000618875,0.000618875,0.000618875
53,2106.9,1.51742,1.51912,1.97251,0.64835,0.59871,0.56945,0.37817,1.27523,2.02877,1.78018,0.0006065,0.0006065,0.0006065
54,2145.75,1.4927,1.44535,1.9549,0.74558,0.49815,0.56755,0.36145,1.38024,2.05409,1.86808,0.000594125,0.000594125,0.000594125
55,2184.36,1.49696,1.43575,1.93389,0.79739,0.42292,0.48839,0.32027,1.1975,2.01018,1.73578,0.00058175,0.00058175,0.00058175
56,2222.83,1.47704,1.41508,1.95394,0.78169,0.41764,0.44287,0.2933,1.15678,2.01239,1.65383,0.000569375,0.000569375,0.000569375
57,2261.26,1.51565,1.49646,1.93399,0.77517,0.45914,0.50007,0.34964,1.0762,2.04737,1.60849,0.000557,0.000557,0.000557
58,2299.98,1.49492,1.41359,1.95149,0.76031,0.49293,0.53305,0.36763,1.17038,2.14995,1.67264,0.000544625,0.000544625,0.000544625
59,2338.67,1.47662,1.42114,1.92734,0.72144,0.56123,0.54419,0.3646,1.24405,1.9745,1.71013,0.00053225,0.00053225,0.00053225
60,2377.19,1.5151,1.40238,1.93416,0.82134,0.53679,0.56382,0.38903,1.235,1.7611,1.7003,0.000519875,0.000519875,0.000519875
61,2415.42,1.54314,1.46687,1.96779,0.81766,0.50248,0.56153,0.3481,1.36568,1.84201,1.77586,0.0005075,0.0005075,0.0005075
62,2454.07,1.50424,1.39323,1.92441,0.85325,0.42613,0.56051,0.35832,1.22296,1.8856,1.71851,0.000495125,0.000495125,0.000495125
63,2492.61,1.43414,1.3594,1.92646,0.81385,0.44212,0.55739,0.36878,1.18252,1.91307,1.6927,0.00048275,0.00048275,0.00048275
64,2531.08,1.44882,1.31106,1.87041,0.75061,0.52674,0.51651,0.3552,1.19487,1.86786,1.6593,0.000470375,0.000470375,0.000470375
65,2569.72,1.44469,1.33892,1.89792,0.72505,0.48463,0.46745,0.31288,1.25991,1.91954,1.70626,0.000458,0.000458,0.000458
66,2608.18,1.44456,1.36966,1.88307,0.68383,0.54686,0.5044,0.35679,1.17726,1.95598,1.65677,0.000445625,0.000445625,0.000445625
67,2646.69,1.437,1.30071,1.86231,0.77301,0.5292,0.58505,0.42794,1.11178,1.80617,1.64014,0.00043325,0.00043325,0.00043325
68,2685.16,1.40894,1.26362,1.84578,0.81892,0.46619,0.56902,0.41709,1.06321,1.7085,1.56761,0.000420875,0.000420875,0.000420875
69,2723.7,1.44378,1.32827,1.86436,0.78753,0.4614,0.58193,0.42852,1.09473,1.71403,1.58672,0.0004085,0.0004085,0.0004085
70,2762.44,1.44023,1.30886,1.86866,0.74014,0.59675,0.59435,0.41232,1.24515,1.75662,1.72311,0.000396125,0.000396125,0.000396125
71,2801.13,1.41563,1.25256,1.85284,0.85001,0.44733,0.55769,0.38557,1.17054,1.75673,1.65515,0.00038375,0.00038375,0.00038375
72,2839.93,1.45143,1.29714,1.87883,0.83699,0.44608,0.59561,0.41523,1.12984,1.7415,1.62019,0.000371375,0.000371375,0.000371375
73,2878.45,1.42611,1.23438,1.84805,0.87544,0.42195,0.61693,0.41752,1.13638,1.74266,1.6292,0.000359,0.000359,0.000359
74,2917.24,1.44319,1.27916,1.85885,0.76097,0.63436,0.60564,0.42035,1.12526,1.66671,1.61576,0.000346625,0.000346625,0.000346625
75,2955.79,1.3659,1.2455,1.8311,0.75503,0.59365,0.6218,0.43384,1.10629,1.66362,1.59534,0.00033425,0.00033425,0.00033425
76,2994.43,1.37319,1.19233,1.80792,0.81303,0.48734,0.5833,0.42526,1.0697,1.76704,1.58467,0.000321875,0.000321875,0.000321875
77,3033.14,1.42976,1.28514,1.85993,0.81303,0.50175,0.58884,0.41728,1.07859,1.69462,1.56639,0.0003095,0.0003095,0.0003095
78,3071.59,1.35525,1.20676,1.7921,0.91223,0.54126,0.64802,0.45381,1.06467,1.60565,1.55584,0.000297125,0.000297125,0.000297125
79,3110.35,1.39581,1.25408,1.81711,0.88205,0.56107,0.64847,0.44923,1.0864,1.59046,1.57409,0.00028475,0.00028475,0.00028475
80,3149.32,1.3756,1.19311,1.81023,0.82453,0.52016,0.63365,0.4555,1.06112,1.7121,1.55143,0.000272375,0.000272375,0.000272375
81,3188.01,1.3685,1.13924,1.79773,0.87544,0.43776,0.64147,0.46104,1.02808,1.67726,1.5384,0.00026,0.00026,0.00026
82,3226.71,1.34942,1.23914,1.80338,0.82393,0.55105,0.62086,0.45492,1.03967,1.57604,1.55122,0.000247625,0.000247625,0.000247625
83,3265.37,1.36743,1.21493,1.80089,0.81665,0.55949,0.63357,0.45887,1.0608,1.54227,1.57132,0.00023525,0.00023525,0.00023525
84,3303.93,1.29962,1.1444,1.77287,0.91223,0.482,0.63506,0.45583,1.03733,1.57093,1.54236,0.000222875,0.000222875,0.000222875
85,3342.77,1.38144,1.21556,1.80581,0.77885,0.54403,0.59123,0.42115,1.07118,1.61557,1.54575,0.0002105,0.0002105,0.0002105
86,3381.4,1.31992,1.16492,1.78013,0.7383,0.52853,0.58649,0.41786,1.06719,1.63673,1.53172,0.000198125,0.000198125,0.000198125
